apple,0.07,0.37
pear,0.14,0.40
melon,1.61,2.14
banana,0.03,0.67
orange,0.16,0.73
lemon,0.10,0.46
avacado,0.32,1.09
kiwi,0.10,0.63
strawbery,0.39,0.74
raspberry,0.38,0.76
cocoa,2.81,2.81
coffee,3.95,6.41
