wheat,0.64,1.18
rye,0.56,1.06
barley,0.62,1.15
oat,0.65,1.18
rice,1.76,3.58
sugar,1.52,1.52
pasta,1.77,1.77
bun,1.45,1.45
biscuit,1.10,1.10
pastry,1.41,1.41
bread,1.02,1.04
